StandardizedNames,Source,SourceNames
[Bacteroides] pectinophilus,Alice_hCOMs-updated,Bacteroides-pectinophilus-ATCC-43243
[Bacteroides] pectinophilus,Zimmermann,Bacteroides pectinophilus
[Clostridium] hylemonae,Alice_hCOMs-common,Clostridium-hylemonae-DSM-15053
[Clostridium] leptum,Alice_hCOMs-common,Clostridium-leptum-DSM-753
[Clostridium] methylpentosum,Alice_hCOMs-common,Clostridium-methylpentosum-DSM-5476
[Clostridium] nexile,Alice_hCOMs-updated,Tyzzerella-nexilis-DSM-1787
[Clostridium] scindens,Alice_hCOMs-updated,Clostridium-scindens-ATCC-35704
[Clostridium] scindens,Zimmermann,Clostridium scindens
[Clostridium] symbiosum,Zimmermann,Clostridium symbiosum
[Eubacterium] rectale,Alice_hCOMs-common,Eubacterium-rectale-ATCC-33656
[Eubacterium] rectale,Maier,Eubacterium rectale
[Eubacterium] rectale,Zimmermann,Eubacterium rectale
[Eubacterium] siraeum,Alice_hCOMs-updated,Eubacterium-siraeum-DSM-15702
[Ruminococcus] gnavus,Alice_hCOMs-common,Ruminococcus-gnavus-ATCC-29149
[Ruminococcus] gnavus,Maier,Ruminococcus gnavus
[Ruminococcus] gnavus,Zimmermann,Ruminococcus gnavus
[Ruminococcus] lactaris,Alice_hCOMs-updated,Ruminococcus-lactaris-ATCC-29176
[Ruminococcus] lactaris,Zimmermann,Ruminococcus lactaris
[Ruminococcus] torques,Alice_hCOMs-updated,Ruminococcus-torques-ATCC-27756
[Ruminococcus] torques,Maier,Ruminococcus torques
[Ruminococcus] torques,Zimmermann,Ruminococcus torques
Acidaminococcus fermentans,Alice_hCOMs-common,Acidaminococcus-fermentans-DSM-20731
Acidaminococcus intestini,Alice_hCOMs-updated,Acidaminococcus-intestini-D21
Adlercreutzia equolifaciens,Alice_hCOMs-new,Adlercreutzia-equolifaciens-DSM-19450
Akkermansia muciniphila,Alice_hCOMs-common,Akkermansia-muciniphila-ATCC-BAA-835
Akkermansia muciniphila,Maier,Akkermansia muciniphila
Akkermansia muciniphila,Zimmermann,Akkermansia muciniphila
Alistipes finegoldii,Alice_hCOMs-new,Alistipes-finegoldii-DSM-17242
Alistipes ihumii,Alice_hCOMs-new,Alistipes-ihumii-AP11
Alistipes indistinctus,Alice_hCOMs-new,Alistipes-indistinctus-YIT-12060-DSM-22520
